id,before 1929,1930-1964,1965-1992,1993-2015,before 2015
E02000518,1340,1260,360,310,"3,270"
E02000519,843,850,990,270,"2,970"
E02000520,1230,1450,740,750,"4,170"
E02000521,26,2360,430,1230,"4,050"
E02000522,410,1630,900,490,"3,450"
E02000523,413,1930,320,840,"3,510"
E02000524,480,1020,890,310,"2,710"
E02000525,180,1370,1590,120,"3,270"
E02000526,3130,80,190,200,"3,580"
E02000528,720,830,1840,2260,"5,670"
E02000529,320,1240,950,320,"2,850"
E02000530,16,1080,1173,110,"2,370"
E02000531,2110,760,570,1090,"4,540"
E02000532,1820,1010,660,540,"4,030"
E02000533,1950,1180,460,280,"3,890"
E02000534,760,1310,400,490,"2,960"
E02000535,433,1970,350,133,"2,870"
E02000536,920,1190,590,320,"3,020"
E02000537,1640,610,490,300,"3,050"
E02000538,160,2190,320,300,"2,980"
E02000539,1190,1020,410,1810,"4,450"
E02000540,1530,730,730,770,"3,760"
E02000541,1030,810,1030,210,"3,090"
E02000542,1150,780,940,780,"3,650"
E02000543,2120,540,440,1250,"4,360"
E02000544,390,1990,440,80,"2,890"
E02000545,840,620,1670,310,"3,430"
E02000546,860,950,740,510,"3,080"
E02000547,430,2330,730,140,"3,630"
E02000548,160,1770,1000,820,"3,730"
E02000549,590,2980,193,310,"4,090"
E02000550,53,1490,720,1540,"3,830"
E02000551,60,1930,1080,220,"3,280"
E02000552,190,1400,750,980,"3,330"
E02000553,240,1800,440,140,"2,630"
E02000554,1850,610,1430,290,"4,360"
E02000555,1880,283,1483,330,"4,170"
E02000556,3753,360,460,240,"4,960"
E02000557,1870,210,1340,190,"4,170"
E02000558,1323,233,1863,710,"4,170"
E02000559,2413,240,210,1270,"4,200"
E02000560,1970,230,440,540,"3,570"
E02000561,2923,40,73,430,"3,630"
E02000562,1790,1180,460,193,"3,760"
E02000563,1143,1350,1133,190,"3,970"
E02000564,2310,610,590,2503,"6,130"
E02000565,1683,1140,510,330,"3,810"
E02000566,2660,300,340,530,"4,060"
E02000567,3300,450,800,580,"5,220"
E02000568,750,380,1830,1770,"4,870"
E02000569,1930,1260,1190,493,"4,950"
E02000570,3330,140,480,420,"4,440"
E02000571,1570,790,830,820,"4,090"
E02000572,493,1450,1090,570,"3,650"
E02000573,3050,180,580,810,"4,750"
E02000574,2973,730,570,960,"5,390"
E02000575,2080,1330,1110,2560,"7,340"
E02000576,1170,1390,1343,1500,"5,680"
E02000577,433,510,1860,670,"3,630"
E02000578,760,970,183,480,"2,470"
E02000579,3000,180,640,120,"4,040"
E02000580,3540,290,690,73,"4,620"
E02000581,690,780,1560,233,"3,320"
E02000582,3340,510,260,33,"4,190"
E02000583,3050,260,340,63,"3,750"
E02000584,3210,680,280,290,"4,510"
E02000585,2970,650,333,350,"4,350"
E02000586,3920,180,200,73,"4,410"
E02000587,2930,650,250,63,"3,930"
E02000588,4750,530,390,130,"5,830"
E02000589,3890,83,293,690,"4,980"
E02000590,2530,2220,120,23,"4,910"
E02000591,3043,50,320,650,"4,100"
E02000592,3583,310,203,250,"4,360"
E02000593,3900,160,190,120,"4,420"
E02000594,2780,1000,360,163,"4,320"
E02000595,2990,610,450,280,"4,360"
E02000596,2970,470,200,280,"4,000"
E02000597,1610,303,1070,530,"3,620"
E02000598,500,1710,330,520,"3,060"
E02000599,270,1560,450,170,"2,470"
E02000600,1170,800,1260,200,"3,400"
E02000601,2180,380,440,1720,"4,730"
E02000602,1580,510,1300,650,"4,060"
E02000603,900,1090,350,493,"2,840"
E02000604,1820,1020,350,230,"3,450"
E02000605,1440,1160,450,150,"3,210"
E02000606,1860,1140,1080,1080,"5,190"
E02000607,1100,1060,280,70,"2,530"
E02000608,1740,760,450,480,"3,450"
E02000609,170,2200,270,110,"2,750"
E02000610,1060,750,1650,310,"3,790"
E02000611,220,2430,23,40,"2,700"
E02000612,113,2510,230,310,"3,150"
E02000613,1630,850,590,150,"3,210"
E02000614,420,2260,230,320,"3,240"
E02000615,240,2380,250,90,"2,960"
E02000616,16,1780,490,110,"2,400"
E02000617,140,2160,390,680,"3,380"
E02000619,610,910,1750,850,"4,160"
E02000620,1470,1530,600,1310,"4,920"
E02000621,1940,910,600,2030,"5,650"
E02000622,1780,780,860,410,"3,860"
E02000623,593,1520,1160,173,"3,450"
E02000624,1430,820,1040,860,"4,220"
E02000625,490,2440,260,620,"3,830"
E02000626,890,1550,840,200,"3,500"
E02000627,1843,1000,510,890,"4,360"
E02000628,950,830,1450,790,"4,070"
E02000629,2510,410,540,540,"4,080"
E02000630,1720,450,780,510,"3,580"
E02000631,3010,510,170,260,"3,960"
E02000632,3490,150,43,580,"4,310"
E02000633,1620,780,950,550,"3,920"
E02000634,930,1040,790,330,"3,160"
E02000635,2450,450,590,660,"4,170"
E02000636,2383,320,250,330,"3,320"
E02000637,3140,500,90,140,"3,920"
E02000638,1450,1520,860,330,"4,200"
E02000639,600,2450,390,460,"3,920"
E02000640,2340,1130,330,140,"3,960"
E02000641,350,1770,890,550,"3,590"
E02000642,2510,460,910,260,"4,210"
E02000643,2350,900,240,180,"3,740"
E02000644,2230,850,330,230,"3,640"
E02000645,2720,550,420,380,"4,130"
E02000646,2250,890,410,280,"3,870"
E02000647,1550,920,760,210,"3,510"
E02000648,1090,910,1020,400,"3,450"
E02000649,3790,510,420,570,"5,370"
E02000650,1920,420,990,210,"3,550"
E02000651,2420,630,280,190,"3,560"
E02000652,110,2080,63,313,"2,560"
E02000653,433,110,1610,1810,"4,140"
E02000654,520,680,1120,910,"3,400"
E02000655,1070,33,1560,830,"3,670"
E02000657,1980,560,620,460,"4,160"
E02000658,1953,520,390,340,"3,460"
E02000659,1250,820,830,410,"3,480"
E02000660,2120,420,240,1020,"3,950"
E02000661,1110,980,860,160,"3,270"
E02000662,1463,870,430,550,"3,410"
E02000663,2250,390,43,100,"2,900"
E02000664,1730,670,860,1910,"5,590"
E02000665,2100,400,700,230,"3,510"
E02000666,1660,650,183,230,"2,850"
E02000667,1730,660,13,130,"2,570"
E02000668,1170,750,720,130,"2,800"
E02000669,2130,230,90,870,"3,420"
E02000670,2100,150,140,430,"2,910"
E02000671,2250,640,510,210,"3,780"
E02000672,2530,380,530,213,"3,750"
E02000673,1580,900,740,250,"3,580"
E02000674,3043,20,13,40,"3,120"
E02000675,1040,1310,840,200,"3,540"
E02000676,2430,390,210,190,"3,330"
E02000677,1870,580,70,180,"2,750"
E02000678,1293,810,110,323,"2,550"
E02000679,1100,1280,870,190,"3,500"
E02000680,740,1160,900,240,"3,120"
E02000681,1990,650,520,160,"3,400"
E02000682,240,2770,53,230,"3,350"
E02000683,660,980,790,380,"2,840"
E02000685,870,720,1580,320,"3,670"
E02000686,933,1120,540,240,"2,970"
E02000687,2050,460,720,200,"3,570"
E02000689,2190,280,140,760,"3,410"
E02000690,870,540,720,260,"2,430"
E02000691,2080,420,290,240,"3,060"
E02000692,1530,800,890,620,"3,900"
E02000693,2450,320,690,600,"4,070"
E02000694,2820,150,500,490,"3,970"
E02000695,2320,440,90,80,"2,960"
E02000696,1320,400,1110,440,"3,280"
E02000697,2470,180,580,410,"3,650"
E02000698,1850,750,420,260,"3,290"
E02000699,2430,510,180,130,"3,270"
E02000700,430,1090,1450,480,"3,470"
E02000701,1280,910,433,470,"3,110"
E02000702,630,1230,1010,610,"3,470"
E02000703,1580,1120,153,200,"3,060"
E02000704,1460,1380,500,270,"3,630"
E02000705,1480,1103,210,420,"3,220"
E02000706,610,1320,930,630,"3,530"
E02000707,463,1140,970,260,"2,840"
E02000708,1440,1480,80,190,"3,210"
E02000709,50,2590,223,53,"2,930"
