id,AvPTAI2015,PTAL
E02000658,19.831169,4
E02000659,17.776824,4
E02000660,22.845238,5
E02000661,17.776824,4
E02000662,19.831169,4
E02000663,14.45,3
E02000664,25.165829,6a
E02000665,10.225275,3
E02000666,14.45,3
E02000667,11.781609,3
E02000668,10.225275,3
E02000669,25.165829,6a
E02000670,17.631285,4
E02000671,11.781609,3
E02000672,17.631285,4
E02000673,11.545455,3
E02000674,9.508021,2
E02000675,8.092437,2
E02000676,9.029412,2
E02000677,9.508021,2
E02000678,5.941176,2
E02000679,9.029412,2
E02000680,11.545455,3
E02000681,6.153595,2
E02000682,5.941176,2
E02000683,8.092437,2
E02000685,12.355556,3
E02000686,6.153595,2
E02000687,12.355556,3
E02006783,7.347107,2
E02006784,7.347107,2
E02006798,16.934426,4
E02000689,7.275556,2
E02000690,2.370607,1a
E02000691,7.275556,2
E02000692,2.370607,1a
E02000693,14.234234,3
E02000694,15.900901,4
E02000695,8.292135,2
E02000696,14.234234,3
E02000697,17.9,4
E02000698,10.293478,3
E02000699,21.684211,5
E02000700,7.486957,2
E02000701,12.37931,3
E02000702,12.37931,3
E02000703,13.104396,3
E02000704,21.684211,5
E02000705,6.272109,2
E02000706,8.036913,2
E02000707,4.737089,1b
E02000708,6.387435,2
E02000709,6.527027,2
E02000710,9.295699,2
E02000711,7.769231,2
E02000712,7.769231,2
E02000713,3.302703,1b
E02000714,8.685039,2
E02000715,4.575269,1b
E02000716,11.625,3
E02000717,11.625,3
E02000718,4.575269,1b
E02000719,8.685039,2
E02000720,13.1,3
E02000721,11.75,3
E02000722,13.1,3
E02000723,14.933333,3
E02000724,11.635135,3
E02000725,28.018868,6a
E02000726,28.018868,6a
E02000727,11.635135,3
E02000728,7.614286,2
E02000729,16.105263,4
E02000730,11.75,3
E02000731,17.435644,4
E02000732,13.294737,3
E02000733,16.105263,4
E02000734,14.568421,3
E02000735,14.568421,3
E02000736,7.614286,2
E02000737,17.435644,4
E02000738,13.294737,3
E02000739,13.264706,3
E02000740,13.119522,3
E02000741,13.264706,3
E02000742,4.541899,1b
E02000743,13.119522,3
E02000744,10.587912,3
E02000745,7.95098,2
E02000746,4.65008,1b
E02000747,10.587912,3
E02000748,4.65008,1b
E02000749,7.95098,2
E02000750,5.412998,2
E02000751,5.412998,2
E02000752,11.7904647,3
E02000753,11.29529607,3
E02000754,12.4928256,3
E02000755,12.44758733,3
E02000756,12.24907825,3
E02000757,10.26894517,3
E02000758,9.853414407,2
E02000759,9.353606309,2
E02000760,10.54553301,3
E02000762,11.15494992,3
E02000763,11.58120214,3
E02000764,11.81590706,3
E02000765,11.87222304,3
E02000767,10.69263431,3
E02000768,9.496861604,2
E02000769,11.70977036,3
E02000770,12.02138229,3
E02000772,9.745263887,2
E02000773,10.64250938,3
E02000774,9.723488287,2
E02000776,10.31911099,3
E02000777,9.69234933,2
E02000779,11.51296972,3
E02000780,10.21227157,3
E02000781,11.26302608,3
E02000782,11.66721053,3
E02000783,10.44912964,3
E02006800,11.8381343,3
E02006924,11.76635979,3
E02006925,10.3283121,3
E02000784,6.44186,2
E02000785,4.861972,1b
E02000786,8.87766,2
E02000787,4.861972,1b
E02000788,1.659829,1a
E02000789,10.175373,3
E02000790,7.787129,2
E02000791,10.175373,3
E02000792,12.346734,3
E02000793,4.962963,1b
E02000794,7.787129,2
E02000795,1.488865,1a
E02000796,3.484536,1b
E02000797,12.346734,3
E02000798,5.770492,2
E02000799,9.526316,2
E02000800,1.488865,1a
E02000801,6.552632,2
E02000802,6.552632,2
E02000803,3.719388,1b
E02000804,3.846868,1b
E02000805,5.298893,2
E02000806,2.925439,1b
E02000807,2.925439,1b
E02000808,10.22274832,3
E02000809,10.42565304,3
E02000810,10.63342818,3
E02000812,11.90761417,3
E02000813,12.03308592,3
E02000814,12.37622393,3
E02000815,12.56602649,3
E02000816,10.94720169,3
E02000817,12.42906182,3
E02000818,12.29390514,3
E02000819,11.84743945,3
E02000820,10.65702263,3
E02000821,10.06555765,3
E02000822,12.42604619,3
E02000823,9.662465927,2
E02000824,10.92756872,3
E02000825,9.805368244,2
E02000826,11.85749128,3
E02000827,10.95278667,3
E02000828,11.34576329,3
E02000829,12.40182959,3
E02000830,11.71453402,3
E02000831,10.02885219,3
E02000832,11.14111694,3
E02000833,10.05208284,3
E02000834,11.81086397,3
E02000835,12.07594318,3
E02000836,12.0348196,3
E02000837,12.51826605,3
E02000838,10.46905084,3
E02000839,11.72714336,3
E02006802,11.24990082,3
E02000840,4.831683,1b
E02000841,6.786667,2
E02000842,4.295918,1b
E02000843,4.831683,1b
E02000844,5.863946,2
E02000845,4.479592,1b
E02000846,8.497355,2
E02000847,4.479592,1b
E02000848,4.295918,1b
E02000849,8.426829,2
E02000850,3.976096,1b
E02000851,18.584615,4
E02000852,8.52451,2
E02000853,11.234637,3
E02000854,8.52451,2
E02000855,3.043147,1b
E02000856,7.794118,2
E02000857,11.234637,3
E02000858,3.019802,1b
E02000859,7.794118,2
E02000860,10.811024,3
E02000861,1.676056,1a
E02000863,3.019802,1b
E02006836,4.493562,1b
E02000864,8.687831,2
E02000865,29.954128,6a
E02000866,17.204545,4
E02000867,8.687831,2
E02000868,29.954128,6a
E02000869,23.838235,5
E02000870,24.479339,5
E02000871,21.793103,5
E02000872,23.838235,5
E02000873,24.479339,5
E02000874,24.479339,5
E02000875,12.014085,3
E02000876,29.954128,6a
E02000877,19.177419,4
E02000878,47.931818,6b
E02000879,22.59375,5
E02000880,22.59375,5
E02000881,9.939394,2
E02000882,21.014493,5
E02000883,9.939394,2
E02000884,34.255102,6a
E02000885,25.857143,6a
E02000886,18.833333,4
E02000887,19.177419,4
E02000888,25.857143,6a
E02000889,16.126667,4
E02000890,16.126667,4
E02000891,10.574468,3
E02000893,9.348684,2
E02000894,9.348684,2
E02006853,15.085366,4
E02006854,15.085366,4
E02000895,4.964674,1b
E02000896,4.964674,1b
E02000897,4.025316,1b
E02000898,5.656863,2
