Orig,Dest,Dist
E02000191,E02000413,8091.462855
E02000191,E02000414,8529.127203
E02000191,E02000415,8047.779679
E02000191,E02000416,7365.546299
E02000191,E02000417,7158.653507
E02000191,E02000418,7114.30464
E02000191,E02000419,7335.400625
E02000191,E02000420,8001.118136
E02000191,E02000421,8335.996945
E02000191,E02000422,7489.893196
E02000191,E02000423,7132.13191
E02000191,E02000424,6680.895019
E02000191,E02000425,7786.976529
E02000191,E02000426,6453.879953
E02000191,E02000427,6212.400015
E02000191,E02000428,6985.322829
E02000191,E02000429,6190.307208
E02000191,E02000430,6152.530084
E02000191,E02000431,5678.087295
E02000191,E02000432,5836.89351
E02000191,E02000433,17209.27854
E02000191,E02000434,14914.75013
E02000191,E02000435,16376.95215
E02000191,E02000436,18808.32513
E02000191,E02000437,17044.22821
E02000191,E02000438,18571.69096
E02000191,E02000439,13627.88114
E02000191,E02000440,15360.41744
E02000191,E02000441,20240.54043
E02000191,E02000442,13626.92904
E02000191,E02000443,16603.89141
E02000191,E02000444,14362.16303
E02000191,E02000445,15819.86781
E02000191,E02000447,17622.4496
E02000191,E02000448,18968.0904
E02000191,E02000449,13348.71808
E02000191,E02000451,17883.83017
E02000191,E02000452,15933.86892
E02000191,E02000453,16592.72554
E02000191,E02000454,18650.90848
E02000191,E02000455,15123.64678
E02000191,E02000456,16504.67505
E02000191,E02000457,17361.57464
E02000191,E02000459,15962.13783
E02000191,E02000460,16994.47053
E02000191,E02000461,14906.00599
E02000191,E02000462,16211.89001
E02000191,E02000463,17159.51841
E02000191,E02000464,26970.39819
E02000191,E02000465,27738.88048
E02000191,E02000466,24274.34606
E02000191,E02000467,26105.32888
E02000191,E02000468,22409.77929
E02000191,E02000469,25036.34778
E02000191,E02000470,27654.10791
E02000191,E02000471,23507.39619
E02000191,E02000472,22452.70925
E02000191,E02000473,26191.79315
E02000191,E02000474,21597.16286
E02000191,E02000475,24471.66058
E02000191,E02000476,22841.60078
E02000191,E02000477,24251.73594
E02000191,E02000478,25966.01504
E02000191,E02000479,23196.13274
E02000191,E02000480,21363.63213
E02000191,E02000481,29906.36582
